Name,l_deg,b_deg,RA_deg,Dec_deg,dRA_asec,dDec_asec,Peak_mJybm,dPeak_mJybm,Flux_mJy,dFlux_mJy,Angscale_asec,dAngscale_asec,AngscaleDecon_asec,gaussMajor_asec,dGaussMajor_asec,gaussMinor_asec,dGaussMminor_asec,gaussPosangle_deg,dGaussPosangle_deg,RMS_mJybm,Sky_mJybm,Sigma,mType,fArtefact,fCluster,fEdge,fHiNoise,fHi5Sig,fNearBright,fSmoothWeighting,fOverlap7sig,fOverlap5sig
G009.9702-00.5292,009.97016,-00.52920,272.41889,-20.57271,00.12,00.13,00006.99,00000.74,00012.63,00001.57,02.017,00.092,01.3,02.117,00.140,01.922,00.119,166.229,24.648,00.37,0.008,0017.5,G,0,0,0,0,0,0,0,0,0
G010.0989+00.7393,010.09889,+00.73927,271.30448,-19.84291,00.12,00.12,00064.96,00005.79,00475.99,00043.58,04.286,00.004,04.0,,,,,,,00.38,-0.023,0170.4,P,0,0,0,0,0,0,0,0,0
G010.4168+00.9356,010.41684,+00.93556,271.28822,-19.46976,00.11,00.10,00013.00,00001.23,00014.38,00001.51,01.578,00.043,,01.625,00.064,01.533,00.058,64.183,22.477,00.40,-0.004,0030.4,G,0,0,0,0,0,0,0,0,0
G010.5960-00.8733,010.59599,-00.87330,273.06230,-20.19018,00.64,00.63,00016.59,00001.52,00034.54,00003.84,02.267,00.019,01.7,,,,,,,00.47,-0.007,0034.4,P,0,0,0,1,0,0,0,0,0
G011.3266-00.3718,011.32660,-00.37184,272.96802,-19.30841,01.47,01.48,00005.92,00000.60,00013.82,00002.41,02.773,00.055,02.3,,,,,,,00.39,-0.017,0014.1,P,0,0,0,0,0,0,0,0,0
G011.4290-01.0091,011.42899,-01.00905,273.61310,-19.52411,00.14,00.17,00006.22,00000.72,00014.58,00002.00,02.297,00.133,01.7,02.684,00.239,01.966,00.147,162.181,09.209,00.42,-0.002,0014.2,G,0,0,0,0,0,0,0,0,0
G011.4581+01.0736,011.45809,+01.07358,271.69846,-18.49384,00.13,00.15,00005.10,00000.60,00007.43,00001.15,01.811,00.111,01.0,02.042,00.193,01.605,00.126,22.672,12.639,00.36,-0.004,0014.0,G,0,0,0,0,0,0,0,0,0
G011.7210-00.4916,011.72104,-00.49163,273.27982,-19.02009,00.17,00.17,00003.76,00000.52,00005.93,00001.13,01.883,00.157,01.1,01.959,00.238,01.810,00.207,45.648,57.771,00.37,-0.008,0009.2,G,0,0,0,0,0,0,0,0,1
G011.7434-00.6502,011.74335,-00.65025,273.43819,-19.07630,00.16,00.16,00016.97,00001.52,00156.88,00014.98,04.324,00.008,04.1,,,,,,,00.28,0.001,0059.6,P,0,0,0,0,0,0,1,0,0
G011.7900-00.1022,011.79002,-00.10216,272.95362,-18.77258,00.72,00.71,00005.30,00000.51,00041.18,00006.88,05.124,00.048,04.9,,,,,,,00.38,-0.021,0013.0,P,0,0,0,0,0,0,0,0,0
G012.0438-00.5077,012.04384,-00.50768,273.45809,-18.74443,00.10,00.10,00012.70,00001.19,00013.49,00001.38,01.546,00.039,,01.593,00.058,01.500,00.053,78.466,19.050,00.36,-0.004,0032.2,G,0,0,0,0,1,0,0,0,0
G012.1157+00.0757,012.11571,+00.07570,272.95449,-18.40148,00.11,00.10,00018.00,00001.64,00047.37,00004.40,02.433,00.049,01.9,02.823,00.083,02.097,00.057,89.538,02.470,00.30,-0.020,0060.4,G,0,0,0,0,1,0,0,0,0
G012.1528-00.3304,012.15285,-00.33041,273.34892,-18.56385,00.11,00.12,00007.92,00000.81,00011.97,00001.42,01.844,00.074,01.1,01.996,00.119,01.704,00.091,13.211,12.616,00.37,-0.008,0020.9,G,0,0,0,0,0,0,0,0,0
G012.3315-00.1806,012.33146,-00.18058,273.30053,-18.33528,00.11,00.11,00013.55,00001.27,00033.65,00003.30,02.364,00.061,01.8,02.446,00.091,02.284,00.083,63.638,17.907,00.36,-0.027,0035.5,G,0,0,0,0,0,0,0,0,0
G012.3830+00.7990,012.38299,+00.79904,272.42341,-17.81851,00.10,00.10,00015.21,00001.42,00019.59,00001.98,01.702,00.043,,01.730,00.063,01.675,00.060,13.939,36.641,00.42,-0.007,0034.7,G,0,0,0,0,0,0,0,0,0
G012.6012+00.5592,012.60121,+00.55923,272.75458,-17.74317,00.10,00.10,00015.64,00001.45,00017.11,00001.70,01.569,00.037,,01.641,00.056,01.500,00.048,163.237,11.312,00.40,-0.004,0039.0,G,0,0,0,0,0,0,0,0,0
G013.3565-00.7559,013.35652,-00.75587,274.34632,-17.70867,00.12,00.12,00007.57,00000.81,00009.68,00001.29,01.696,00.080,,01.809,00.126,01.590,00.100,00.663,18.701,00.43,-0.014,0017.0,G,0,0,0,0,0,0,0,0,0
G013.6313-00.6023,013.63127,-00.60226,274.34123,-17.39395,00.24,00.44,00003.03,00000.45,00019.91,00003.28,03.842,00.368,03.5,04.978,00.719,02.965,00.373,179.932,09.287,00.39,-0.016,0008.0,G,0,0,0,0,0,0,0,0,0
G013.9166+00.6500,013.91658,+00.64998,273.33266,-16.54604,00.11,00.10,00014.67,00001.36,00027.01,00002.62,02.035,00.048,01.4,02.177,00.075,01.903,00.062,74.062,07.643,00.35,-0.008,0041.3,G,0,0,0,0,0,0,0,0,0
G014.2365+00.2117,014.23648,+00.21173,273.89362,-16.47444,00.17,00.17,00005.74,00000.63,00024.34,00002.92,03.088,00.157,02.7,03.669,00.280,02.599,00.175,45.619,07.416,00.38,-0.038,0015.6,G,0,0,0,0,0,0,0,0,0
G014.4573-00.1847,014.45732,-00.18467,274.36678,-16.46869,00.10,00.10,00021.56,00001.95,00048.27,00004.45,02.244,00.042,01.7,02.610,00.072,01.930,00.049,05.000,02.112,00.33,-0.012,0062.9,G,0,0,0,0,0,0,0,0,0
G014.5851+00.4613,014.58506,+00.46126,273.83829,-16.04894,01.01,00.98,00005.42,00000.54,00022.06,00003.54,03.277,00.044,02.9,,,,,,,00.36,-0.004,0014.2,P,0,0,0,0,0,0,0,0,0
G014.7503-00.2496,014.75035,-00.24958,274.57111,-16.24146,00.17,00.17,00005.29,00000.61,00019.77,00002.57,02.899,00.169,02.5,03.066,00.258,02.740,00.220,134.223,28.070,00.38,-0.004,0013.2,G,0,0,0,0,0,0,0,0,0
G014.8960+00.4837,014.89603,+00.48373,273.97176,-15.76498,00.11,00.12,00007.63,00000.83,00008.84,00001.22,01.615,00.078,,01.739,00.126,01.500,00.096,14.193,16.581,00.45,-0.010,0016.4,G,0,0,0,0,0,0,0,0,0
G015.1999-00.0863,015.19992,-00.08627,274.64295,-15.76816,00.17,00.16,00004.93,00000.63,00010.00,00001.62,02.136,00.154,01.5,02.242,00.236,02.035,00.201,116.353,40.383,00.41,-0.007,0011.4,G,0,0,0,0,0,0,0,0,0
G015.5410+00.3359,015.54101,+00.33593,274.42478,-15.26769,00.88,00.88,00014.90,00001.35,00021.92,00003.22,02.085,00.031,01.4,,,,,,,00.36,0.007,0040.2,P,0,0,0,0,0,0,0,0,0
G015.5847+00.4002,015.58467,+00.40020,274.38765,-15.19882,00.10,00.10,00017.84,00001.64,00021.91,00002.13,01.663,00.037,,01.711,00.054,01.615,00.050,71.371,16.464,00.39,0.005,0044.4,G,0,0,0,0,0,0,0,0,0
G015.7993-00.0063,015.79925,-00.00625,274.86392,-15.20225,00.10,00.10,00034.06,00003.05,00049.17,00004.45,01.802,00.029,01.0,01.841,00.042,01.765,00.040,175.756,10.294,00.35,-0.004,0095.7,G,0,0,0,0,0,0,0,0,0
G016.0550+00.8280,016.05504,+00.82804,274.22903,-14.58175,00.10,00.10,00011.25,00001.05,00014.13,00001.43,01.681,00.043,,01.708,00.063,01.655,00.060,117.035,38.234,00.31,-0.050,0035.8,G,0,0,0,0,0,0,0,0,0
G016.4034-00.5740,016.40337,-00.57401,275.67731,-14.93629,00.64,00.63,00008.70,00000.80,00037.00,00005.32,04.091,00.035,03.8,,,,,,,00.33,-0.028,0025.8,P,0,0,0,0,0,0,0,0,0
G016.4276+01.0072,016.42759,+01.00722,274.24886,-14.16884,00.26,00.22,00004.09,00000.57,00016.41,00002.68,03.005,00.257,02.6,03.249,00.404,02.780,00.325,100.690,29.840,00.42,0.007,0009.7,G,0,0,0,0,0,0,1,0,0
G016.4999+00.1152,016.49986,+00.11519,275.09530,-14.52728,00.23,00.31,00002.45,00000.32,00015.78,00002.30,03.806,00.299,03.5,04.352,00.500,03.329,00.357,03.744,15.716,00.27,0.012,0010.8,G,0,0,0,0,0,0,0,0,0
G016.6002-00.2754,016.60017,-00.27538,275.50054,-14.62245,01.13,01.14,00003.16,00000.35,00022.17,00004.32,04.447,00.064,04.2,,,,,,,00.35,-0.022,0008.0,P,0,0,0,0,0,0,0,0,0
G017.0152-00.1906,017.01524,-00.19057,275.62426,-14.21655,01.44,01.43,00007.13,00000.69,00013.32,00002.31,02.417,00.047,01.9,,,,,,,00.37,-0.021,0018.5,P,0,0,0,0,0,0,0,0,0
G017.3669+00.5224,017.36686,+00.52244,275.14642,-13.57069,00.12,00.12,00006.91,00000.68,00018.42,00001.94,02.448,00.083,01.9,02.525,00.122,02.373,00.112,75.512,27.876,00.26,-0.010,0026.3,G,0,0,0,0,0,0,0,0,0
G017.4147+00.3791,017.41465,+00.37906,275.30042,-13.59676,00.46,00.46,00002.84,00000.28,00041.03,00005.11,06.773,00.035,06.6,,,,,,,00.27,-0.007,0009.5,P,0,0,0,0,0,0,0,0,0
G017.4487+00.1146,017.44869,+00.11456,275.55637,-13.69042,00.23,00.32,00002.49,00000.38,00009.42,00001.74,02.918,00.295,02.5,03.413,00.519,02.495,00.333,17.167,16.795,00.30,-0.001,0007.7,G,0,0,0,0,0,0,0,0,0
G017.7250-00.2427,017.72496,-00.24273,276.01443,-13.61398,00.16,00.19,00005.43,00000.54,00059.11,00005.99,04.948,00.177,04.7,05.765,00.298,04.247,00.210,15.034,05.895,00.28,-0.021,0021.0,G,0,0,0,0,0,0,0,0,0
G017.8222+00.9866,017.82218,+00.98658,274.94651,-12.95033,00.13,00.14,00005.85,00000.61,00015.37,00001.76,02.430,00.102,01.9,02.743,00.173,02.153,00.120,30.837,08.658,00.29,0.004,0020.1,G,0,0,0,0,0,0,0,0,0
G017.8645+00.2120,017.86448,+00.21199,275.66869,-13.27757,00.10,00.10,00021.35,00001.93,00023.35,00002.16,01.569,00.028,,01.594,00.040,01.544,00.038,153.398,18.371,00.30,0.001,0070.5,G,0,0,0,0,0,0,0,0,0
G018.0661+00.8535,018.06610,+00.85354,275.18482,-12.79797,00.12,00.11,00009.35,00000.88,00033.16,00003.24,02.825,00.077,02.4,02.914,00.114,02.737,00.105,58.744,21.047,00.29,0.030,0031.4,G,0,0,0,0,0,0,0,0,0
G018.1286-00.2189,018.12862,-00.21890,276.18694,-13.24607,00.15,00.21,00005.07,00000.72,00008.54,00001.70,01.947,00.177,01.2,02.250,00.318,01.685,00.193,03.558,15.559,00.58,-0.053,0007.8,G,0,0,0,1,0,0,1,0,0
G018.2402-00.9152,018.24021,-00.91519,276.87387,-13.47179,00.35,00.33,00002.58,00000.25,00065.18,00008.31,08.084,00.033,07.9,,,,,,,00.27,-0.010,0008.5,P,0,0,0,0,0,0,0,0,0
G018.2413-00.5552,018.24127,-00.55516,276.54649,-13.30347,00.11,00.11,00008.24,00000.80,00008.24,00000.91,01.500,00.048,,01.500,00.072,01.500,00.065,107.350,25.694,00.31,0.019,0025.0,G,0,0,0,0,0,0,0,0,0
G018.5242+00.1519,018.52417,+00.15190,276.04051,-12.72301,00.15,00.20,00002.64,00000.38,00003.65,00000.78,01.765,00.163,,02.077,00.304,01.500,00.168,15.528,13.510,00.28,0.030,0008.3,G,0,0,0,0,0,0,0,0,0
G018.5776-00.7484,018.57761,-00.74837,276.88300,-13.09583,00.21,00.38,00002.13,00000.34,00007.60,00001.50,02.835,00.310,02.4,03.659,00.625,02.196,00.300,173.165,10.259,00.27,0.003,0008.1,G,0,0,0,0,0,0,0,0,0
G019.2356+00.4951,019.23563,+00.49512,276.07082,-11.93353,00.42,00.42,00015.47,00001.39,00038.46,00004.41,02.854,00.018,02.4,,,,,,,00.25,-0.004,0061.8,P,0,0,0,0,0,0,0,0,0
