Name,l_deg,b_deg,RA_deg,Dec_deg,dRA_asec,dDec_asec,Peak_mJybm,dPeak_mJybm,Flux_mJy,dFlux_mJy,Angscale_asec,dAngscale_asec,AngscaleDecon_asec,gaussMajor_asec,dGaussMajor_asec,gaussMinor_asec,dGaussMminor_asec,gaussPosangle_deg,dGaussPosangle_deg,RMS_mJybm,Sky_mJybm,Sigma,mType,fArtefact,fCluster,fEdge,fHiNoise,fHi5Sig,fNearBright,fSmoothWeighting,fOverlap7sig,fOverlap5sig
G010.0500-00.6863,010.04996,-00.68627,272.60697,-20.57849,01.71,01.68,00005.19,00000.53,00012.24,00002.46,02.936,00.064,02.5,,,,,,,00.37,-0.008,0013.0,P,0,0,0,0,0,0,0,0,0
G010.1232-00.9590,010.12318,-00.95903,272.90001,-20.64600,00.10,00.10,00015.42,00001.42,00022.61,00002.18,01.816,00.041,01.0,01.993,00.066,01.655,00.050,163.295,04.876,00.34,-0.008,0044.6,G,0,1,0,0,0,0,0,0,0
G010.1237-00.9564,010.12369,-00.95637,272.89778,-20.64427,00.11,00.11,00008.78,00000.86,00009.88,00001.12,01.591,00.053,,01.688,00.083,01.500,00.068,80.854,13.839,00.34,-0.009,0024.6,G,0,1,0,0,0,0,0,0,0
G010.2966+00.8805,010.29659,+00.88048,271.27644,-19.60106,00.25,00.25,00021.12,00001.89,00126.07,00012.72,04.875,00.014,04.6,,,,,,,00.44,-0.012,0047.2,P,0,1,0,0,0,0,0,0,0
G010.2999+00.8788,010.29992,+00.87881,271.27982,-19.59932,00.55,00.65,00007.48,00000.72,00043.35,00005.57,03.614,00.029,03.3,,,,,,,00.42,-0.014,0016.9,P,0,1,0,0,0,0,0,0,0
G010.8304-00.8875,010.83044,-00.88755,273.19537,-19.99142,00.16,00.22,00004.86,00000.67,00011.28,00001.98,02.286,00.192,01.7,02.675,00.345,01.954,00.209,165.318,13.368,00.47,-0.005,0009.6,G,0,0,0,1,0,0,0,0,0
G011.0541+00.4864,011.05412,+00.48641,272.03290,-19.13237,00.11,00.11,00011.63,00001.11,00014.68,00001.55,01.685,00.049,,01.814,00.079,01.565,00.061,112.390,09.187,00.38,-0.004,0029.3,G,0,1,0,0,0,0,0,1,0
G011.0548+00.4866,011.05481,+00.48665,272.03303,-19.13165,00.14,00.15,00004.02,00000.54,00004.65,00000.91,01.612,00.127,,01.732,00.205,01.500,00.156,155.073,28.713,00.38,-0.004,0009.3,G,0,1,0,0,0,0,0,1,0
G011.4539-00.9359,011.45390,-00.93586,273.55751,-19.46726,00.10,00.10,00013.17,00001.22,00013.17,00001.32,01.500,00.036,,01.500,00.053,01.500,00.050,176.087,32.001,00.34,-0.000,0037.4,G,0,1,0,0,0,0,0,1,0
G011.4545-00.9354,011.45452,-00.93537,273.55736,-19.46648,00.21,00.20,00002.10,00000.40,00002.10,00000.71,01.500,00.216,,01.500,00.314,01.500,00.297,98.014,90.000,00.34,0.005,0007.5,G,0,1,0,0,0,0,0,1,0
G011.7182-00.9321,011.71824,-00.93205,273.68784,-19.23333,00.68,00.67,00015.29,00001.39,00032.06,00004.36,02.523,00.026,02.0,,,,,,,00.36,0.010,0041.5,P,0,0,0,0,0,0,0,0,0
G011.9222+01.0978,011.92218,+01.09779,271.91397,-18.07669,00.11,00.11,00006.45,00000.67,00006.80,00000.88,01.540,00.067,,01.567,00.095,01.514,00.093,72.435,90.000,00.35,-0.004,0017.5,G,0,0,0,0,0,0,0,0,0
G011.9709+00.1913,011.97091,+00.19130,272.77421,-18.47275,00.10,00.10,00023.89,00002.16,00029.50,00002.73,01.667,00.030,,01.770,00.046,01.570,00.039,13.213,05.114,00.38,0.014,0060.9,G,0,0,0,0,0,0,0,0,0
G012.0466-00.4138,012.04664,-00.41384,273.37253,-18.69705,00.10,00.10,00032.83,00002.95,00039.00,00003.58,01.635,00.028,,01.722,00.042,01.553,00.037,08.183,05.081,00.42,-0.018,0076.1,G,0,0,0,0,0,0,0,0,1
G012.1225-00.5000,012.12253,-00.49999,273.49050,-18.67157,01.44,01.43,00005.75,00000.59,00010.96,00001.55,02.362,00.042,01.8,,,,,,,00.38,-0.026,0014.2,P,0,0,0,0,0,0,0,0,0
G012.6550-00.9622,012.65497,-00.96224,274.18704,-18.42402,00.18,00.18,00003.02,00000.45,00004.76,00001.00,01.884,00.179,01.1,01.897,00.257,01.871,00.251,147.382,90.000,00.34,-0.003,0008.4,G,0,0,0,0,0,0,0,0,0
G012.7429+00.5405,012.74289,+00.54048,272.84345,-17.62804,00.12,00.12,00006.08,00000.67,00006.67,00000.95,01.571,00.079,,01.645,00.121,01.500,00.102,47.853,28.371,00.38,0.005,0015.6,G,0,1,0,0,0,0,0,0,0
G012.7438+00.5379,012.74383,+00.53787,272.84633,-17.62848,00.11,00.10,00011.38,00001.08,00011.38,00001.22,01.500,00.043,,01.500,00.063,01.500,00.060,89.920,48.748,00.38,0.011,0030.7,G,0,1,0,0,0,0,0,0,0
G013.4578-00.4588,013.45781,-00.45885,274.12259,-17.47845,00.22,00.15,00004.13,00000.55,00008.23,00001.43,02.118,00.169,01.5,02.678,00.344,01.674,00.158,67.976,07.690,00.38,-0.004,0010.5,G,0,1,0,0,0,0,0,1,0
G013.4585-00.4594,013.45848,-00.45938,274.12342,-17.47811,00.11,00.11,00010.56,00001.02,00013.80,00001.50,01.715,00.054,,01.866,00.088,01.577,00.066,30.097,08.839,00.38,-0.001,0027.2,G,0,1,0,0,0,0,0,1,0
G013.8700+00.5408,013.87003,+00.54082,273.40939,-16.63918,00.11,00.11,00007.59,00000.77,00008.37,00001.01,01.575,00.060,,01.655,00.092,01.500,00.077,04.556,19.508,00.36,-0.001,0019.0,G,0,0,0,0,0,0,0,0,0
G013.8826+00.5410,013.88256,+00.54099,273.41550,-16.62809,00.10,00.10,00011.77,00001.11,00011.77,00001.24,01.500,00.042,,01.500,00.062,01.500,00.057,25.012,27.417,00.37,-0.007,0030.8,G,0,0,0,0,0,0,0,0,0
G014.0189+00.2090,014.01891,+00.20901,273.78797,-16.66681,00.45,00.44,00022.77,00002.04,00049.07,00005.83,02.883,00.021,02.5,,,,,,,00.33,-0.021,0067.1,P,0,1,0,0,0,0,0,0,0
G014.0240+00.2091,014.02398,+00.20910,273.79025,-16.66272,00.74,00.92,00010.87,00001.00,00024.31,00003.55,02.886,00.035,02.5,,,,,,,00.33,-0.003,0032.3,P,0,1,0,0,0,0,0,0,0
G014.1500+00.4388,014.14995,+00.43877,273.64253,-16.44215,00.17,00.16,00003.27,00000.50,00003.27,00000.81,01.500,00.154,,01.500,00.225,01.500,00.209,64.767,90.000,00.39,-0.018,0008.3,G,0,1,0,0,0,0,0,1,0
G014.1503+00.4380,014.15031,+00.43799,273.64342,-16.44221,00.12,00.12,00007.16,00000.77,00011.20,00001.44,01.876,00.088,01.1,02.069,00.146,01.701,00.105,47.254,11.962,00.38,-0.027,0019.1,G,0,1,0,0,0,0,0,1,0
G014.3830-00.5144,014.38304,-00.51445,274.63302,-16.69040,00.11,00.11,00011.54,00001.11,00015.45,00001.64,01.735,00.051,,01.867,00.082,01.613,00.064,02.565,09.499,00.38,-0.002,0029.0,G,0,0,0,0,0,0,0,0,1
G015.1674+00.7979,015.16739,+00.79787,273.81934,-15.37668,00.45,00.44,00033.76,00003.02,00047.24,00005.05,01.941,00.013,01.2,,,,,,,00.43,-0.002,0078.4,P,0,1,0,0,0,0,0,0,0
G015.1686+00.7963,015.16864,+00.79627,273.82119,-15.37645,00.45,00.47,00029.94,00002.68,00046.83,00005.02,02.420,00.016,01.9,,,,,,,00.42,-0.014,0070.2,P,0,1,0,0,0,0,0,0,0
G015.4857+00.3403,015.48566,+00.34028,274.39381,-15.31394,00.78,00.72,00006.25,00000.58,00020.18,00002.34,04.753,00.044,04.5,,,,,,,00.33,-0.009,0018.3,P,0,1,0,0,0,0,0,0,0
G015.4902+00.3412,015.49018,+00.34120,274.39505,-15.31019,01.61,01.83,00004.82,00000.49,00008.88,00001.50,02.537,00.053,02.0,,,,,,,00.32,-0.002,0014.1,P,0,1,0,0,0,0,0,0,0
G015.6192+01.1190,015.61918,+01.11905,273.74999,-14.82651,00.11,00.11,00011.83,00001.20,00013.63,00001.66,01.610,00.062,,01.728,00.100,01.500,00.077,75.218,13.575,00.56,-0.321,0020.0,G,0,0,0,1,0,0,1,0,0
G015.6291+01.1161,015.62907,+01.11605,273.75759,-14.81926,00.11,00.11,00016.61,00001.62,00018.16,00002.04,01.568,00.051,,01.640,00.078,01.500,00.066,115.654,17.965,00.61,-0.341,0025.9,G,0,0,0,1,0,0,1,0,0
G016.2872+00.2368,016.28720,+00.23680,274.88080,-14.65736,00.19,00.27,00002.75,00000.41,00006.19,00001.23,02.250,00.222,01.7,02.857,00.452,01.772,00.210,23.592,09.529,00.33,0.045,0008.7,G,0,1,0,0,0,0,0,0,0
G016.2881+00.2397,016.28808,+00.23970,274.87859,-14.65522,00.15,00.15,00003.93,00000.50,00006.26,00001.05,01.893,00.134,01.2,02.010,00.210,01.783,00.171,52.849,31.578,00.33,0.076,0011.4,G,0,1,0,0,0,0,0,0,0
G016.6473-00.2138,016.64735,-00.21377,275.46686,-14.55206,00.16,00.15,00003.03,00000.43,00003.36,00000.72,01.579,00.138,,01.662,00.214,01.500,00.176,124.032,45.596,00.33,0.003,0007.5,G,0,1,0,0,0,0,0,0,0
G016.6482-00.2165,016.64824,-00.21653,275.46981,-14.55257,00.12,00.12,00004.86,00000.54,00006.13,00000.88,01.684,00.088,,01.701,00.127,01.667,00.122,53.018,90.000,00.33,-0.003,0014.3,G,0,1,0,0,0,0,0,0,0
G016.7843-01.0577,016.78430,-01.05775,276.30403,-14.82648,00.35,00.33,00050.64,00004.52,00071.17,00007.37,01.983,00.011,01.3,,,,,,,00.46,-0.002,0109.9,P,0,1,0,1,0,0,1,1,0
