Name,l_deg,b_deg,RA_deg,Dec_deg,dRA_asec,dDec_asec,Peak_mJybm,dPeak_mJybm,Flux_mJy,dFlux_mJy,Angscale_asec,dAngscale_asec,AngscaleDecon_asec,gaussMajor_asec,dGaussMajor_asec,gaussMinor_asec,dGaussMminor_asec,gaussPosangle_deg,dGaussPosangle_deg,RMS_mJybm,Sky_mJybm,Sigma,mType,fArtefact,fCluster,fEdge,fHiNoise,fHi5Sig,fNearBright,fSmoothWeighting,fOverlap7sig,fOverlap5sig
G011.4697-01.0568,011.46972,-01.05678,273.67822,-19.51112,00.14,00.14,00003.91,00000.51,00003.91,00000.76,01.500,00.111,,01.500,00.158,01.500,00.158,06.952,90.000,00.37,0.008,0011.3,G,0,0,0,0,0,0,0,0,0
G012.0775+00.5111,012.07751,+00.51112,272.53325,-18.22508,00.10,00.10,00011.97,00001.13,00013.49,00001.39,01.592,00.042,,01.608,00.060,01.576,00.058,69.461,63.877,00.36,-0.001,0031.2,G,0,0,0,0,0,0,0,0,0
G012.4048-00.4216,012.40484,-00.42156,273.56046,-18.38622,00.12,00.12,00005.26,00000.58,00006.26,00000.88,01.637,00.082,,01.698,00.124,01.577,00.108,151.409,36.082,00.32,0.014,0015.8,G,0,0,0,0,0,0,0,0,0
G013.0276+00.8617,013.02761,+00.86173,272.69216,-17.22379,00.18,00.17,00002.43,00000.40,00002.43,00000.66,01.500,00.172,,01.500,00.255,01.500,00.232,69.755,90.000,00.34,-0.005,0007.3,G,0,0,0,0,0,0,0,0,0
G013.2054-00.1089,013.20544,-00.10888,273.67387,-17.53354,00.19,00.19,00004.15,00000.58,00009.28,00001.66,02.242,00.191,01.7,02.335,00.289,02.153,00.254,58.453,57.794,00.43,-0.019,0009.9,G,0,0,0,0,0,0,0,0,1
G014.1337+00.0407,014.13369,+00.04070,273.99943,-16.64629,00.11,00.11,00008.95,00000.89,00008.95,00001.06,01.500,00.054,,01.500,00.077,01.500,00.075,57.485,90.000,00.39,-0.007,0021.1,G,0,0,0,0,0,0,0,0,0
G015.1293-00.3916,015.12932,-00.39156,274.88789,-15.97483,01.13,01.15,00007.12,00000.71,00022.24,00003.46,03.129,00.046,02.7,,,,,,,00.45,-0.003,0014.9,P,0,0,0,0,0,0,0,0,0
G015.5703-00.1208,015.57029,-00.12081,274.85643,-15.45817,00.23,00.22,00003.02,00000.50,00005.79,00001.35,02.077,00.238,01.4,02.126,00.349,02.028,00.323,100.318,90.000,00.39,-0.009,0007.5,G,0,0,0,0,0,0,0,0,0
G016.2691+00.3579,016.26910,+00.35794,274.76162,-14.61606,00.12,00.14,00005.14,00000.60,00006.99,00001.07,01.749,00.104,,01.880,00.166,01.628,00.128,173.422,21.400,00.35,-0.004,0013.2,G,0,1,0,0,0,0,0,1,0
G016.2697+00.3588,016.26974,+00.35884,274.76111,-14.61507,00.13,00.15,00004.94,00000.58,00007.59,00001.14,01.858,00.112,01.1,02.137,00.201,01.616,00.123,156.733,10.537,00.36,0.004,0013.9,G,0,1,0,0,0,0,0,1,0
G017.0929+00.5713,017.09292,+00.57131,274.96909,-13.78919,00.20,00.35,00002.69,00000.42,00008.60,00001.65,02.680,00.278,02.2,03.541,00.583,02.029,00.256,17.364,08.604,00.33,0.012,0008.1,G,0,0,0,0,0,0,0,0,0
G017.2233+00.3952,017.22333,+00.39521,275.19216,-13.75732,00.15,00.15,00054.22,00004.83,00199.86,00019.69,03.555,00.007,03.2,,,,,,,00.25,-0.001,0217.1,P,0,0,0,0,0,0,0,0,0
G017.9275+00.6337,017.92751,+00.63366,275.31690,-13.02376,00.12,00.12,00004.40,00000.51,00004.40,00000.71,01.500,00.088,,01.500,00.126,01.500,00.124,165.810,90.000,00.33,0.011,0012.5,G,0,0,0,0,0,0,0,0,0
