Name,l_deg,b_deg
G010.3009-00.1477,10.30088,-0.1477
G010.3204-00.2328,10.32038,-0.23281
G010.3204-00.2586,10.32042,-0.25857
G010.4624+00.0343,10.46241,0.03427
G010.4724+00.0275,10.47236,0.0275
G010.4736+00.0274,10.47363,0.02744
G010.6218-00.3848,10.6218,-0.38476
G010.6223-00.3788,10.62231,-0.37877
G010.6234-00.3837,10.6234,-0.38369
G010.6240-00.3813,10.62398,-0.38128
G010.6297-00.3380,10.62969,-0.33799
G010.8519-00.4407,10.85191,-0.4407
G010.9584+00.0221,10.95839,0.02206
G010.9656+00.0089,10.96557,0.00889
G011.0328+00.0274,11.03283,0.02738
G011.1104-00.3985,11.11043,-0.39851
G011.1712-00.0662,11.17121,-0.06621
G011.9032-00.1407,11.90321,-0.14074
G011.9039-00.1411,11.90393,-0.14108
G011.9368-00.6158,11.93677,-0.61577
G011.9446-00.0369,11.94458,-0.03686
G011.9786-00.0973,11.97859,-0.09725
G012.1988-00.0345,12.1988,-0.03447
G012.2081-00.1019,12.20806,-0.10189
G012.4294-00.0479,12.4294,-0.04791
G012.4317-01.1112,12.43168,-1.1112
G012.8050-00.2007,12.805,-0.20067
G012.8131-00.1976,12.8131,-0.19759
G012.9995-00.3583,12.99951,-0.3583
G013.2099-00.1428,13.20989,-0.14281
G013.3850+00.0684,13.38496,0.06835
G013.8726+00.2818,13.87258,0.28179
G014.1046+00.0918,14.10457,0.09178
G014.1741+00.0245,14.17415,0.02455
G014.2460-00.0728,14.24596,-0.07284
G014.4894+00.0194,14.48936,0.01943
G014.5988+00.0198,14.59881,0.01985
G014.7785-00.3328,14.77849,-0.33278
G016.1448+00.0088,16.14482,0.00876
G016.3913-00.1383,16.39128,-0.13827
G016.9445-00.0738,16.94449,-0.07379
G017.0299-00.0696,17.02987,-0.06955
G017.1141-00.1124,17.11407,-0.11236
G017.5549+00.1654,17.55493,0.16536
G017.9850+00.1266,17.98501,0.12662
G018.1460-00.2839,18.14602,-0.2839
G018.3024-00.3910,18.30241,-0.39103
G018.4433-00.0056,18.44328,-0.00558
G018.4614-00.0038,18.46141,-0.00378
G018.6654+00.0294,18.66539,0.02935
G018.6738-00.2363,18.67381,-0.23633
G018.7106+00.0002,18.71061,0.00022
G018.7612+00.2630,18.76118,0.26298
G018.8250-00.4675,18.82499,-0.46749
G018.8338-00.3002,18.83384,-0.30024
G019.0035+00.1280,19.00347,0.12803
G019.0754-00.2874,19.07543,-0.28737
G019.0767-00.2882,19.07672,-0.2882
G019.4752+00.1728,19.47525,0.17281
G019.4912+00.1352,19.49123,0.13518
G019.6062-00.9018,19.60616,-0.90175
G019.6087-00.2351,19.60873,-0.23507
G019.6090-00.2313,19.60899,-0.23126
G019.6781-00.1318,19.67806,-0.1318
G019.7281-00.1135,19.72806,-0.11354
G019.7407+00.2821,19.74069,0.28206
G019.7549-00.1282,19.7549,-0.12817
G020.0720-00.1421,20.07196,-0.14208
G020.0789-00.1383,20.07889,-0.13826
G020.0797-00.1337,20.07973,-0.13366
G020.0809-00.1362,20.0809,-0.13617
G020.3633-00.0136,20.36326,-0.01355
G020.4319+00.3572,20.43189,0.35715
G020.7619-00.0646,20.7619,-0.06464
G020.9636-00.0744,20.96361,-0.07435
G021.3571-00.1766,21.35708,-0.17658
